trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'e': 0.7337030856668066, 'a': 0.8}",25,7,-123.45089977718929,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 2}",1
80,False,"{'e': 0.7279007205393061, 'a': 0.8}",20,1,16.25336041811139,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'e': 0.722071668147468, 'a': 0.8}",20,1,-141.0483400913928,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 3}",1
82,False,"{'e': 0.7162173091323875, 'a': 0.8}",30,0,-53.18499033557058,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
83,False,"{'e': 0.7103390206093713, 'a': 0.8}",20,13,-12.387628949349729,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'e': 0.7044381756451936, 'a': 0.8}",25,0,-70.76885591089616,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
85,False,"{'e': 0.6985161427416408, 'a': 0.8}",20,8,3.5238547826734505,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'e': 0.6925742853256053, 'a': 0.8}",25,16,-5.386660766673847,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'e': 0.6866139612459802, 'a': 0.8}",30,7,-111.67087613851513,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 2}",1
88,False,"{'e': 0.6806365222775984, 'a': 0.8}",30,8,-40.48714070759997,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
89,False,"{'e': 0.6746433136324554, 'a': 0.8}",20,0,-46.53889452477161,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
90,False,"{'e': 0.6686356734784461, 'a': 0.8}",25,11,4.2990269769789125,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
91,False,"{'e': 0.6626149324658387, 'a': 0.8}",20,0,-30.57325239169542,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
92,False,"{'e': 0.6565824132617025, 'a': 0.8}",20,0,-36.94400754407845,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
93,False,"{'e': 0.650539430092498, 'a': 0.8}",20,12,14.14805044541518,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'e': 0.6444872882950299, 'a': 0.8}",20,0,-74.37006123566275,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
95,False,"{'e': 0.6384272838759568, 'a': 0.8}",30,11,-48.010985019834244,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
96,False,"{'e': 0.6323607030800442, 'a': 0.8}",20,0,-33.96439975272138,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
97,False,"{'e': 0.6262888219673358, 'a': 0.8}",20,16,10.47944884419897,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'e': 0.6202129059994163, 'a': 0.8}",20,13,6.658187109422272,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'e': 0.6141342096349252, 'a': 0.8}",20,15,-2.5123788444476274,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'e': 0.608053975934477, 'a': 0.8}",25,1,-21.33986896060788,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
101,False,"{'e': 0.6019734361751322, 'a': 0.8}",25,0,-53.97509461979508,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
102,False,"{'e': 0.5958938094745583, 'a': 0.8}",25,0,-21.06977070579152,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
103,False,"{'e': 0.5898163024250089, 'a': 0.8}",25,16,-8.671975164088572,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'e': 0.5837421087372439, 'a': 0.8}",20,0,-47.57781667707042,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
105,False,"{'e': 0.577672408894502, 'a': 0.8}",20,0,-22.379063880952838,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
106,False,"{'e': 0.5716083698166332, 'a': 0.8}",25,3,7.322491301069274,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
107,False,"{'e': 0.5655511445344854, 'a': 0.8}",35,20,-45.83089585417184,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
108,False,"{'e': 0.5595018718746354, 'a': 0.8}",30,18,-16.23209093289531,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
109,False,"{'e': 0.5534616761545448, 'a': 0.8}",25,13,-1.2177186077818758,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'e': 0.5474316668882122, 'a': 0.8}",35,14,14.844733047551307,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
111,False,"{'e': 0.5414129385023877, 'a': 0.8}",25,14,2.2047746337583685,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'e': 0.5354065700634031, 'a': 0.8}",20,7,-12.904560855332893,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
113,False,"{'e': 0.5294136250146692, 'a': 0.8}",20,13,0.3932101663565213,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'e': 0.5234351509248776, 'a': 0.8}",35,0,-48.543862240422264,"{0: 27, 1: 0, 2: 8, 3: 0, 4: 0}",0
115,False,"{'e': 0.517472179246941, 'a': 0.8}",20,0,-25.596058942081054,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
116,False,"{'e': 0.5115257250876956, 'a': 0.8}",30,10,2.2486240540638924,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
117,False,"{'e': 0.5055967869883818, 'a': 0.8}",20,11,-24.8968430761068,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
118,False,"{'e': 0.49968634671591367, 'a': 0.8}",30,4,-104.12149425610168,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 2}",1
119,False,"{'e': 0.4937953690649352, 'a': 0.8}",20,5,-0.5744867805571761,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
120,False,"{'e': 0.48792480167066093, 'a': 0.8}",30,5,-32.89672044275188,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",1
